condition,theta,n,overall_correct_rate,task_completion_rate,data_retrieval_accuracy_rate,generalized_result_verification_rate,agent_sequence_correct_rate,clarity_and_justification_rate,hallucinations_rate
A_raw_llm,,23,0.1739,0.1739,0.4348,0.1739,0.3913,0.2609,0.8261
B_tool_baseline,,23,0.087,0.2174,0.3043,0.2174,0.1739,0.1304,0.7826
C_planning_only,,23,0.2174,0.2727,0.2727,0.2727,0.3182,0.2273,0.7273
D_skills_knowledge_no_deep_tsfm,,23,0.2174,0.2857,0.4762,0.2857,0.9524,0.619,0.5238
E_full_theta_0_5,0.5,23,0.2609,0.2857,0.4286,0.2857,0.7619,0.619,0.619
E_full_theta_0_6,0.6,23,0.1739,0.3182,0.4545,0.2273,0.7727,0.4545,0.5909
E_full_theta_0_65,0.65,23,0.2174,0.3478,0.4783,0.2609,0.7826,0.5217,0.5217
E_full_theta_0_7,0.7,23,0.2609,0.3913,0.4783,0.2609,0.9565,0.7391,0.5217
E_full_theta_0_8,0.8,23,0.1304,0.2727,0.3636,0.1364,0.8182,0.6364,0.5455
E_full_theta_0_9,0.9,23,0.1739,0.3478,0.5217,0.1739,0.8261,0.6522,0.4783
E_full_theta_0_95,0.95,23,0.2609,0.3913,0.5217,0.2609,0.8261,0.5217,0.5217
F_skills_knowledge_always_deep,,23,0.2174,0.3478,0.4783,0.2174,0.913,0.6957,0.6087
